Outcome 1 Result 1b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
119,0.6381596588100882,0.6100944720536932,0.6647890534190369,0.5525851662477054,0.5236103838643369,0.5805545435682347
120,0.6372902314820093,0.6092115412296577,0.6639374274799815,,,
121,0.6364196164116785,0.6083274320501985,0.6630846053425418,0.5489969508824607,0.5200004464744783,0.5770063687286755
122,0.6346783862710176,0.6065595260963805,0.6613786566670946,0.5480984288679231,0.5190966553474179,0.5761177055439938
123,,,,0.5471984314477788,0.5181913933663442,0.5752275673861361
124,0.6320665410600256,0.6039084454826041,0.658818975179337,0.5462984340276343,0.5172862371109193,0.5743373271301495
125,0.6311959259896951,0.6030249587882128,0.6579655464203612,0.5453984366074898,0.5163811864930127,0.5734469848525126
126,0.6294546958490339,0.6012582946222509,0.6562583874855936,0.5435954665691178,0.514568225314122,0.5716632238362789
127,0.6259722355677115,0.5977261984256707,0.6528428684113837,0.5408865190612984,0.5118447842641578,0.5689826293777562
128,0.6259722355677115,0.5977261984256707,0.6528428684113837,0.5381684963524477,0.5091126175363125,0.56629265473542
129,0.6216130974370173,0.5933068482696947,0.6485656256504656,0.5372578897596344,0.5081972003185243,0.5653915066905679
130,0.6207412698108785,0.5924232846521545,0.6477098784697654,0.5372578897596344,0.5081972003185243,0.5653915066905679
131,0.6198682159855471,0.5915385025552982,0.6468528988515309,0.5326971266886699,0.5036135154754575,0.5608769776613641
132,0.6189951621602151,0.5906538226807296,0.6459958196613219,0.5317834094902334,0.5026954399296938,0.5599722960059146
133,0.6163760006842198,0.5880003948313023,0.6434239861160999,0.5299559750933595,0.5008596222437672,0.5581626121948636
134,,,,0.5290422578949229,0.4999418799383976,0.5572576101761175
135,0.6155017084846673,0.5871147897065667,0.6425653649781052,0.5272084892367083,0.4980999691783345,0.5554413855284688
136,,,,0.5272084892367083,0.4980999691783345,0.5554413855284688
137,0.6146274162851155,0.5862292866501425,0.6417066444603493,0.5262900075481425,0.4971774775223621,0.5545316237024874
138,0.6128788318860112,0.584458586137251,0.6399889058495192,0.5244530441710111,0.49533283348576507,0.5527117743653982
139,0.6128788318860112,0.584458586137251,0.6399889058495192,0.5226160807938796,0.49348864128311487,0.5508914912151313
140,0.6120020381351013,0.5835706974293151,0.6391275741827401,0.5226160807938796,0.49348864128311487,0.5508914912151313
141,,,,0.5216943593109982,0.492563257870077,0.5499781690525963
142,,,,0.5207726378281167,0.4916379888601491,0.5490647371623503
143,0.6111252443841917,0.5826829114342356,0.6382661426291726,0.5189259263464564,0.4897843072730754,0.5472344991167414
144,0.6111252443841917,0.5826829114342356,0.6382661426291726,0.5170792148647964,0.4879310857748949,0.5454038199325902
145,0.6093691373600991,0.5809049374454008,0.6365406493642612,0.5161558591239666,0.48700464737062116,0.54448831506341
146,0.6084910838480528,0.5800161048640555,0.6356777526484575,0.5133857919014765,0.48422602066718456,0.5417411400356298
147,0.6076130303360063,0.5791273750268904,0.6348147560600019,0.5124624361606465,0.48330004103599594,0.5408251950699283
148,0.6049750577006833,0.5764577035881573,0.632221639295375,0.5115390804198167,0.4823741759268093,0.5399091402146141
149,0.6049750577006833,0.5764577035881573,0.632221639295375,0.5106140549579361,0.48144664586207675,0.5389914185363871
150,,,,0.5096873506839649,0.4805174418211115,0.5380720210102098
151,0.6014475063438284,0.5728885640119271,0.6287532556880058,0.5087606464099941,0.4795883538526804,0.5371525122203034
152,0.5979199549869728,0.5693210803967204,0.6252832649368155,0.5078339421360235,0.4786593818914199,0.5362328922169627
153,0.5952742914693316,0.5666465490244146,0.6226797221234601,0.5078339421360235,0.4786593818914199,0.5362328922169627
154,0.5935105157909039,0.5648640410030685,0.6209435288954762,0.5069055437043307,0.4777287206400606,0.535311581198605
155,0.5926286279516899,0.5639729404648197,0.6200752832387232,0.5059771452726377,0.4767981761579301,0.5343901582865491
156,0.5917454258235948,0.5630805316803517,0.6192057200034993,0.5050470402261806,0.47586592998285737,0.5334670320253674
157,0.5899790215674049,0.5612960219665722,0.6174662947219903,0.5031868301332665,0.47400179020126976,0.5316204417927621
158,0.586440916490539,0.5577225519021055,0.6139813376739259,,,
159,0.586440916490539,0.5577225519021055,0.6139813376739259,0.5022567250868099,0.47306989647205183,0.530696977913354
160,0.5855550540789216,0.5568280081706694,0.6131086099965513,0.5013266200403528,0.47213812010457284,0.5297734015843357
161,0.5837833292556875,0.5550392298577572,0.611362854849903,0.4985363049009814,0.4693434946037916,0.5270019983198838
162,0.5820116044324531,0.5532508629299858,0.6096167007213018,0.4957407742192938,0.4665443738527645,0.5242247144769845
163,0.5811243916208183,0.5523553859917882,0.6087422211319713,0.49480893065873116,0.4656115694754688,0.52329872718941
164,0.5802371788091837,0.551460012205266,0.6078676415501575,0.49480893065873116,0.4656115694754688,0.52329872718941
165,0.5793486073255557,0.5505632852921317,0.606991701128239,,,
166,0.5784586709087731,0.5496651990380369,0.6061143936555974,0.49387532890277136,0.46467701185146354,0.5223709856240846
167,,,,0.49387532890277136,0.46467701185146354,0.5223709856240846
168,0.5757888616584252,0.5469715646486991,0.6034818666734717,0.4929399589616677,0.46374069106923665,0.521441479864321
169,,,,0.4919992338491457,0.4627987885698522,0.5205068627544435
170,,,,0.48916622482506217,0.459962282592248,0.5176922005106129
171,0.5740089888248595,0.5451763275296992,0.6017263459347216,,,
172,0.5713391795745114,0.5424842482814738,0.599092312752116,0.4882218884837012,0.45901702921093246,0.5167537424612126
173,0.5713391795745114,0.5424842482814738,0.599092312752116,,,
174,0.5695537446383411,0.5406840909332338,0.5973306227599094,,,
175,0.5695537446383411,0.5406840909332338,0.5973306227599094,0.4872757220331515,0.45806995123175326,0.5158134587494193
176,0.564180596104017,0.535268104587689,0.5920274702232001,0.4844372226815019,0.45522946811176757,0.512991891119258
177,0.5623895465925756,0.5334636178745396,0.5902589387291277,,,
178,0.5605956405428382,0.5316564951864148,0.588487345841099,0.48065255687930275,0.45144390736950857,0.5092281303010069
179,0.5596986875179699,0.5307530920015409,0.5876013965556571,0.48065255687930275,0.45144390736950857,0.5092281303010069
180,0.5579047814682326,0.5289466014387914,0.5858291927529428,0.48065255687930275,0.45144390736950857,0.5092281303010069
181,0.5570078284433642,0.5280435138603142,0.5849429384125263,0.47970265064041095,0.45049385013185883,0.5082834012825483
182,0.5498322042444159,0.5208225853770329,0.5778492563601607,0.4740032132070594,0.4447961695337098,0.5026124865489261
183,0.5462443921449417,0.5172146263726264,0.5742999921607239,,,
184,0.5462443921449417,0.5172146263726264,0.5742999921607239,0.4730533069681674,0.44384699954603996,0.5016669108572275
185,0.5453444837559054,0.5163097414320116,0.5734096721015225,0.47210148944911684,0.442895924062868,0.5007194291615323
186,0.5435446669778333,0.514500287338895,0.5716287268111655,0.471149671930066,0.44194497621805895,0.4997718256696418
187,0.5435446669778333,0.514500287338895,0.5716287268111655,0.4701978544110155,0.4409941559803415,0.49882410039626673
188,0.539939063880136,0.5108762719236543,0.5680600536998228,0.468294219372914,0.43909289820966224,0.4969282845562604
189,0.5381362623312876,0.5090648977405041,0.5662751050976621,0.46638670727770887,0.4371880313639559,0.49502835824379937
190,0.5372348615568634,0.508159368753611,0.5653824780234005,0.46638670727770887,0.4371880313639559,0.49502835824379937
191,0.5372348615568634,0.508159368753611,0.5653824780234005,,,
192,,,,0.46638670727770887,0.4371880313639559,0.49502835824379937
193,0.5363319458231544,0.5072523290520883,0.5644883372075631,,,
194,0.5354290300894454,0.5063453953229661,0.5635940940454283,0.4654270638470964,0.4362295327771864,0.49407271173133027
195,0.5336231986220273,0.5045318454811702,0.5618053009396715,0.4635038115171495,0.43430871571064694,0.49215733833025693
197,,,,0.46254218535217617,0.4333485066077497,0.4911994617456031
198,0.531817367154609,0.5027187186392972,0.5600160992095775,0.46061492624654227,0.4314242285381931,0.48927958624335616
199,,,,0.4596512966937252,0.43046229054929963,0.4883194571180108
201,0.5300115356871913,0.5009060142284542,0.5582264893404844,,,
202,0.5291086199534819,0.4999998202623342,0.5573315315005536,0.4586876671409082,0.4295004865599037,0.48735920041669833
203,0.5263952424152589,0.49727693849335614,0.5546417255506565,,,
204,0.5245863240564433,0.495462213920976,0.5528480097061885,,,
205,,,,0.457724037588091,0.4285388165490382,0.4863988161424585
206,0.5236818648770359,0.494555010426019,0.5519509983811995,,,
207,0.5218729465182206,0.4927409207128405,0.5501566691821946,,,
208,,,,0.4567604080352741,0.42757728049761645,0.48543830429665535
210,0.51825510980059,0.4891140087586231,0.5465667859542942,0.45290588982400587,0.4237324755703508,0.48159498116640737
211,0.517350650621182,0.4882075445004127,0.545669060246131,0.45290588982400587,0.4237324755703508,0.48159498116640737
212,0.5164461914417746,0.487301185627305,0.5447712326662368,,,
214,0.5164461914417746,0.487301185627305,0.5447712326662368,0.45193606993144886,0.4227650339665593,0.480628046469402
215,,,,0.45096625003889207,0.42179772985199576,0.4796609809948642
216,0.5155369551892359,0.4863898486020161,0.5438688412360821,0.44902661025377877,0.4198635340428513,0.4777264576877792
217,0.5146261125122232,0.48547690927432585,0.542964845958019,0.44805679036122187,0.41889664232935553,0.4767589998381172
218,,,,0.44708697046866525,0.41792988806725756,0.4757914111766928
219,0.5137152698352104,0.48456407832985077,0.5420607461781023,0.44708697046866525,0.41792988806725756,0.4757914111766928
220,0.5100589333951022,0.48090004515342344,0.5384311887071523,0.4461129247813698,0.41695878374490697,0.47481974234301866
221,0.507316681065021,0.4781531727039855,0.5357079105271834,0.44319078771948284,0.41404631042565976,0.47190393751172355
222,0.503660344624913,0.4744922100886824,0.5320753948829667,0.4422124416097269,0.41307119932268627,0.4709277175497854
223,0.5027462605148856,0.4735772430496862,0.5311670022711034,0.4422124416097269,0.41307119932268627,0.4709277175497854
224,,,,0.44123192621813095,0.4120939266198758,0.46994933558713214
225,0.5027462605148856,0.4735772430496862,0.5311670022711034,0.4402492270506071,0.4111144779456846,0.4689687772450556
226,0.501828840331464,0.47265883823463284,0.5302553863242561,0.4392665278830837,0.4101351744272196,0.4679880811458487
227,0.5009080534684704,0.47173696367865803,0.529340518067916,0.4392665278830837,0.4101351744272196,0.4679880811458487
228,0.4990664797424837,0.46989355252467685,0.5275104566173715,,,
230,0.4972249060164967,0.4680505916815668,0.525679962137211,0.4363051805040965,0.4071840661618271,0.4650327847967197
231,0.49537991564166733,0.46620444902235136,0.5238458411295484,,,
232,0.4935349252668378,0.46435875950774336,0.5220112845040175,0.4353180647111009,0.4062006591511372,0.46404740556646834
235,0.4926072280388925,0.46343055413325995,0.5210889813572336,,,
236,0.4907518335830022,0.4615744909297465,0.5192440415371268,0.43333934623514164,0.4042295241377884,0.46207203436884337
237,0.4879634708921896,0.45878566314704033,0.5164708705135965,0.43333934623514164,0.4042295241377884,0.46207203436884337
238,0.48703401666191876,0.457856287107949,0.5155462564189618,0.431356099799283,0.402254178124872,0.46009186683970993
239,0.4842456539711063,0.4550688581561378,0.5127717431966154,0.4303644765813537,0.4012667311820422,0.45910156881002956
240,0.4842456539711063,0.4550688581561378,0.5127717431966154,0.42738273655885006,0.39829800270471793,0.45612339622726356
241,0.4823759796314497,0.4531997168317697,0.5109114424649074,,,
242,0.4814411424616214,0.4522653250272939,0.5099811207404089,0.42638882321801563,0.39730873093296487,0.45513038355896623
243,0.47863117470406313,0.44945706910899835,0.5071843679812096,0.42638882321801563,0.39730873093296487,0.45513038355896623
244,0.47769451878487695,0.44852122398676325,0.5062518870120373,0.425390254545374,0.3963146682793049,0.4541328779920114
245,0.47487903046198005,0.44570854673327426,0.5034485903616236,0.4233931172000903,0.3943270086071514,0.4521374259335896
246,0.47394053435434774,0.4447712295819826,0.5025139264758108,0.42239218784500765,0.39333090508000246,0.45113727437131423
247,0.4729983066518539,0.4438300696896681,0.501575657693935,,,
248,,,,0.4213912584899245,0.3923349583377728,0.450136974379174
249,0.4720560789493602,0.4428890327148827,0.5006372713331876,,,
250,0.469229395841879,0.4400666590545087,0.49782140687707643,0.41938939977975853,0.39034353529705773,0.44813592893031257
251,0.469229395841879,0.4400666590545087,0.49782140687707643,0.4183884704246757,0.38934805904947756,0.4471351833803439
252,0.4682852723089981,0.43912410043605715,0.49688077725224383,0.4163866117145098,0.3873575772463981,0.44513324637891577
253,0.4673411487761168,0.4381816656584616,0.49594002917895863,0.41337658801536903,0.3843653598182404,0.44212245833462194
254,0.46639702524323595,0.437239354702851,0.4949991626620561,,,
255,,,,0.41236835243484377,0.383363078593639,0.44111398772887306
256,,,,0.41236835243484377,0.383363078593639,0.44111398772887306
257,0.46545098665247886,0.436295134395365,0.4940563864825548,,,
258,0.4645049480617218,0.4353510389252606,0.49311349094145734,0.41033698124058365,0.38134318903490083,0.43908266737085283
259,0.4635589094709647,0.43440706827659803,0.49217047604056746,0.40932129564345315,0.3803334946837585,0.438066770599616
260,0.4635589094709647,0.43440706827659803,0.49217047604056746,0.40728487128701796,0.3783092435826358,0.43602978415313204
261,0.4635589094709647,0.43440706827659803,0.49217047604056746,,,
262,0.4635589094709647,0.43440706827659803,0.49217047604056746,,,
263,0.4616512596377511,0.43250296935382193,0.4902695229934582,,,
264,0.4606954599283563,0.43154901584836136,0.4893170159377257,0.4052433431101407,0.3762802505414806,0.4339873934160527
266,0.4597396602189614,0.4305951925422876,0.48836438473211724,0.4052433431101407,0.3762802505414806,0.4339873934160527
267,0.4587838605095665,0.42964149941815366,0.4874116293777505,,,
268,0.4578280608001714,0.4286879364602896,0.48645874987415366,0.40422000133461006,0.3752632731590914,0.4329635500045187
270,0.45687226109077683,0.42773450365480264,0.4855057462192663,0.4031966595590794,0.374246468251334,0.43193954378884697
271,,,,0.4021733177835487,0.3732298358664133,0.4309153746967483
273,0.4540048619625919,0.424874986040291,0.48264599030240135,0.40114736544226426,0.3722106048107674,0.42988860541717744
274,0.4540048619625919,0.424874986040291,0.48264599030240135,0.40114736544226426,0.3722106048107674,0.42988860541717744
275,0.4530470457981135,0.4239199336378125,0.4816906038621052,0.3990901994656373,0.37016708192427467,0.42782966031050046
276,0.4530470457981135,0.4239199336378125,0.4816906038621052,0.39701700362425707,0.36810724552277,0.4257550887627758
277,0.4530470457981135,0.4239199336378125,0.4816906038621052,0.39701700362425707,0.36810724552277,0.4257550887627758
278,0.44918310510900367,0.42006636760480437,0.47783723468529526,0.39701700362425707,0.36810724552277,0.4257550887627758
